Sep  7 00:40:47 Dawids-MacBook-Air newsyslog[24685]: logfile turned over
Sat Sep  7 00:40:48.084 Usb Host Notification Apple80211Set: seqNum 1610 Total 8 chg 1 en0
Sat Sep  7 00:40:48.220 Usb Host Notification Apple80211Set: seqNum 1611 Total 8 chg 1 en0
Sat Sep  7 00:43:49.774 [airport] @[461175.225022] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.224932], took 0.000081
Sat Sep  7 00:43:49.774 [airport] @[461175.225070] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.774 [airport] @[461175.225143] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.225058], took 0.000075
Sat Sep  7 00:43:49.774 [airport] @[461175.225187] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.774 [airport] @[461175.225240] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.225176], took 0.000056
Sat Sep  7 00:43:49.774 [airport] @[461175.225280] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.774 [airport] @[461175.225487] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.225270], took 0.000209
Sat Sep  7 00:43:49.774 [airport] @[461175.225530] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.774 [airport] @[461175.225587] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.225520], took 0.000058
Sat Sep  7 00:43:49.774 [airport] @[461175.225626] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.774 [airport] @[461175.225685] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.225616], took 0.000060
Sat Sep  7 00:49:35.194 [airport] @[461520.644631] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.194 [airport] @[461520.644721] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.644569], took 0.000143
Sat Sep  7 00:49:35.194 [airport] @[461520.644815] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:49:35.194 [airport] @[461520.644887] (airportProcessCommand.m:1667) Processed events, count[  2], @[461520.644804], took 0.000075
Sat Sep  7 00:49:35.194 [airport] @[461520.645032] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.194 [airport] @[461520.645082] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.645023], took 0.000052
Sat Sep  7 00:49:35.194 [airport] @[461520.645332] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.194 [airport] @[461520.645378] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.645323], took 0.000047
Sat Sep  7 00:49:35.194 [airport] @[461520.645469] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.195 [airport] @[461520.645510] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.645461], took 0.000043
Sat Sep  7 00:49:35.195 [airport] @[461520.645700] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.195 [airport] @[461520.645758] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.645691], took 0.000060
Sat Sep  7 00:49:35.195 [airport] @[461520.645982] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.195 [airport] @[461520.646038] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.645953], took 0.000078
Sat Sep  7 00:49:35.195 [airport] @[461520.646242] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.195 [airport] @[461520.646290] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.646232], took 0.000050
Sat Sep  7 00:49:35.196 [airport] @[461520.646506] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.196 [airport] @[461520.646561] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.646484], took 0.000070
Sat Sep  7 00:49:35.196 [airport] @[461520.646660] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.196 [airport] @[461520.646708] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.646651], took 0.000044
Sat Sep  7 00:49:35.196 [airport] @[461520.647107] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.196 [airport] @[461520.647189] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.647088], took 0.000093
Sat Sep  7 00:49:35.196 [airport] @[461520.647287] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.196 [airport] @[461520.647334] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.647278], took 0.000049
Sat Sep  7 00:49:35.196 [airport] @[461520.647483] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.197 [airport] @[461520.647622] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.647471], took 0.000057
Sat Sep  7 00:49:35.197 [airport] @[461520.647667] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648520] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.647655], took 0.000855
Sat Sep  7 00:49:35.198 [airport] @[461520.648576] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648622] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.648567], took 0.000048
Sat Sep  7 00:49:35.198 [airport] @[461520.648656] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648694] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.648648], took 0.000039
Sat Sep  7 00:49:35.198 [airport] @[461520.648721] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648761] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.648714], took 0.000040
Sat Sep  7 00:49:35.198 [airport] @[461520.648788] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648830] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.648781], took 0.000043
Sat Sep  7 00:49:35.198 [airport] @[461520.648862] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.648900] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.648855], took 0.000038
Sat Sep  7 00:49:35.198 [airport] @[461520.649358] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.198 [airport] @[461520.649419] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.649347], took 0.000065
Sat Sep  7 00:49:35.199 [airport] @[461520.650412] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:49:35.200 [airport] @[461520.650492] (airportProcessCommand.m:1667) Processed events, count[  2], @[461520.650400], took 0.000085
Sat Sep  7 00:49:35.200 [airport] @[461520.650673] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:49:35.200 [airport] @[461520.650737] (airportProcessCommand.m:1667) Processed events, count[  2], @[461520.650662], took 0.000067
Sat Sep  7 00:49:35.200 [airport] @[461520.650857] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.200 [airport] @[461520.650945] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.650847], took 0.000090
Sat Sep  7 00:49:35.200 [airport] @[461520.651048] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.200 [airport] @[461520.651093] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.651038], took 0.000048
Sat Sep  7 00:49:35.200 [airport] @[461520.651210] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.200 [airport] @[461520.651251] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.651200], took 0.000045
Sat Sep  7 00:49:35.200 [airport] @[461520.651389] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.200 [airport] @[461520.651444] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.651380], took 0.000057
Sat Sep  7 00:49:35.201 [airport] @[461520.651594] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.201 [airport] @[461520.652177] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.651585], took 0.000583
Sat Sep  7 00:49:35.201 [airport] @[461520.652225] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.201 [airport] @[461520.652267] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652217], took 0.000044
Sat Sep  7 00:49:35.201 [airport] @[461520.652295] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.201 [airport] @[461520.652331] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652288], took 0.000037
Sat Sep  7 00:49:35.201 [airport] @[461520.652361] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.201 [airport] @[461520.652398] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652351], took 0.000040
Sat Sep  7 00:49:35.201 [airport] @[461520.652437] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.201 [airport] @[461520.652475] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652429], took 0.000040
Sat Sep  7 00:49:35.202 [airport] @[461520.652737] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.202 [airport] @[461520.652789] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652727], took 0.000055
Sat Sep  7 00:49:35.202 [airport] @[461520.652847] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:35.202 [airport] @[461520.652888] (airportProcessCommand.m:1667) Processed events, count[  1], @[461520.652833], took 0.000048
Sat Sep  7 00:49:35.534 Usb Host Notification Apple80211Set: seqNum 1613 Total 8 chg 1 en0
Sat Sep  7 00:49:35.631 Usb Host Notification Apple80211Set: seqNum 1614 Total 8 chg 1 en0
Sat Sep  7 00:49:35.690 [airport] @[461521.141066] (airportProcessCommand.m:1381) Processing event, count[ 11]
Sat Sep  7 00:49:35.690 [airport] @[461521.141322] (airportProcessCommand.m:1667) Processed events, count[ 11], @[461521.141045], took 0.000267
Sat Sep  7 00:49:35.713 [airport] @[461521.163771] (airportProcessCommand.m:1381) Processing event, count[  8]
Sat Sep  7 00:49:35.714 [airport] @[461521.165450] (airportProcessCommand.m:1667) Processed events, count[  8], @[461521.163752], took 0.001682
Sat Sep  7 00:49:37.929 [airport] @[461523.380199] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:49:37.930 [airport] @[461523.380776] (airportProcessCommand.m:1667) Processed events, count[  1], @[461523.380143], took 0.000610
Sat Sep  7 00:50:43.626 Usb Host Notification Error Apple80211Set: Device power is off seqNum 1615 Total 8 chg 1 en0
Sat Sep  7 00:50:43.638 [airport] @[461589.084827] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:50:43.638 [airport] @[461589.085013] (airportProcessCommand.m:1667) Processed events, count[  2], @[461589.084757], took 0.000241
Sat Sep  7 00:50:43.638 [airport] @[461589.085262] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.638 [airport] @[461589.085644] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.085239], took 0.000375
Sat Sep  7 00:50:43.639 [airport] @[461589.085813] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.639 [airport] @[461589.085896] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.085795], took 0.000091
Sat Sep  7 00:50:43.639 [airport] @[461589.086299] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.639 [airport] @[461589.086383] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.086284], took 0.000090
Sat Sep  7 00:50:43.640 [airport] @[461589.086836] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:50:43.640 [airport] @[461589.086913] (airportProcessCommand.m:1667) Processed events, count[  1], @[461589.086820], took 0.000082
Sat Sep  7 00:50:43.640 [airport] @[461589.087322] (airportProcessCommand.m:1381) Processing event, count[  1]
